nquest,anmutuo11,anmutuo12,anmutuo13,debgar11_1,debgar12_1,debgar13_1,debgar11_2,debgar12_2,debgar13_2,debgar11_3,debgar12_3,debgar13_3,debm11,debm12,debm13,debpers11,debpers12,debpers13,debrf11,debrf12,debrf13,ltv11,ltv12,ltv13,mutuodu11,mutuodu12,mutuodu13,mutuoin11,mutuoin12,mutuoin13,ratacon11,ratacon12,ratacon13,rifinanz11,rifinanz12,rifinanz13,rippag11,rippag12,rippag13,sospecome11,sospecome12,sospecome13,sospens11,sospens12,sospens13,stesmut11,stesmut12,stesmut13,taxfis11,taxfis12,taxfis13,taxvar11,taxvar12,taxvar13,tipotax11,tipotax12,tipotax13,tmutuoab11,tmutuoab12,tmutuoab13,whytipo11,whytipo12,whytipo13,tdebita11,tdebita12,tdebita13
687953,2012,,,1,,,0,,,0,,,1,,,,,,2,,,65,,,20,,,80000,,,,,,2,,,,,,,,,2,,,,,,3.9,,,,,,1,,,5400,,,1,,,74000,,
688264,2006,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,10,,,60000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,6000,,,3,,,12000,,
688287,2002,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,21,,,175000,,,1,,,2,,,,,,,,,2,,,,,,,,,0,,,2,,,900,,,3,,,10000,,
688323,2012,,,1,,,0,,,0,,,1,,,,,,2,,,70,,,20,,,80000,,,2,,,2,,,,,,,,,2,,,,,,,,,3,,,2,,,7000,,,1,,,70000,,
700624,1999,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,20,,,80000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,4200,,,4,,,22000,,
700950,2006,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,160000,,,,,,2,,,,,,,,,2,,,,,,5.13,,,,,,1,,,1064,,,3,,,9916.9939105,,
702643,1999,,,1,,,0,,,0,,,1,,,,,,2,,,90,,,35,,,130000,,,1,,,2,,,,,,,,,2,,,,,,,,,3.5,,,2,,,4800,,,4,,,70000,,
707963,2006,,,1,,,0,,,0,,,1,,,,,,2,,,60,,,64,,,350000,,,,,,2,,,,,,,,,2,,,,,,3.6,,,,,,1,,,10800,,,4,,,260000,,
709460,2004,,,1,,,0,,,0,,,1,,,,,,2,,,45,,,15,,,60000,,,2,,,2,,,,,,,,,2,,,,,,,,,1.98,,,2,,,1800,,,4,,,6500,,
711467,2007,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,25,,,100000,,,,,,1,,,,,,,,,2,,,1,,,3,,,,,,1,,,7000,,,3,,,80000,,
712141,2014,,,1,,,0,,,0,,,2,,,,,,2,,,100,,,5,,,25000,,,,,,2,,,,,,,,,2,,,,,,4,,,,,,1,,,1300,,,1,,,6814.7779138,,
712823,2005,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,20,,,50000,,,,,,2,,,,,,,,,2,,,,,,2.5,,,,,,1,,,3200,,,1,,,32000,,
713400,2000,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,15,,,75000,,,,,,2,,,,,,,,,2,,,,,,10,,,,,,1,,,6200,,,4,,,12000,,
713811,2014,,,1,,,0,,,0,,,2,,,,,,2,,,80,,,45,,,45000,,,,,,2,,,,,,,,,2,,,,,,1.51,,,,,,1,,,1300,,,1,,,43000,,
713851,2003,,,1,,,0,,,0,,,1,,,,,,1,,,90,,,30,,,100000,,,,,,2,,,,,,,,,2,,,,,,8,,,,,,3,,,5980,,,3,,,60000,,
714430,2000,,,1,,,0,,,0,,,3,,,,,,2,,,100,,,15,,,180000,,,,,,2,,,,,,,,,2,,,,,,6,,,,,,1,,,13900,,,4,,,6500,,
715065,2005,,,1,,,0,,,0,,,1,,,,,,2,,,50,,,20,,,125000,,,2,,,2,,,,,,,,,2,,,,,,,,,6,,,2,,,8000,,,4,,,80000,,
715880,2000,,,0,,,1,,,0,,,1,,,,,,2,,,70,,,20,,,150000,,,,,,2,,,,,,,,,2,,,,,,3,,,,,,1,,,8000,,,3,,,38000,,
716507,2005,,,1,,,0,,,0,,,1,,,,,,2,,,70,,,35,,,160000,,,2,,,2,,,,,,,,,2,,,,,,,,,3.5,,,2,,,3500,,,4,,,60498.775769,,
717409,2004,,,1,,,0,,,0,,,1,,,,,,2,,,50,,,25,,,100000,,,2,,,2,,,,,,,,,2,,,,,,,,,3.5,,,2,,,5000,,,1,,,70000,,
717414,2003,,,1,,,0,,,0,,,2,,,,,,2,,,35,,,15,,,70000,,,2,,,2,,,,,,,,,2,,,,,,,,,3.5,,,2,,,6000,,,4,,,24000,,
