nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,etalav2,etapen,coppu,prevcom,coppip,mcontrib,anprevcom,mprevcom1
36311,4,0,,,,,,,,,,,,,,
36321,1,1,2,,,18,1,37,,,,,,,,
36321,2,0,,,,,,,,,,,,,,
36321,3,0,,,,,,,,,,,,,,
36333,1,2,1,15,1,16,1,15,,,,,,,,
36333,2,1,1,1,,23,2,,,,,,,,,
36333,3,1,,,,23,1,,,,,,,6,,
36333,4,1,1,4,,16,1,20,,,,,,,,
36378,1,3,1,1,3,15,1,42,,,,,,,,
36378,2,5,1,3,3,15,1,32,,,,,,,,
36403,1,1,2,,,17,1,40,,,,,,,,
36403,2,0,,,,,,,,,,,,,,
36409,1,1,2,,,22,1,39,,64,70,,,,,
36409,2,1,2,,,15,1,40,,,,,,,,
36409,3,1,2,,,24,1,4,,,,2,,,,
36443,1,4,2,,1,17,1,40,,,,,,,,
36443,2,1,2,,,23,1,33,,,,5,,,,
36450,1,2,2,,3,15,1,40,,,,,,,,
36450,2,1,2,,,18,1,30,,65,60,2,,,,
36450,3,2,2,,1,19,1,9,22,,,2,,,,
36522,1,2,2,,3,25,1,35,28,65,70,2,,,,
36522,2,1,1,16,,34,1,21,,65,60,2,,,,
36522,3,0,,,,,,,,,,,,,,
36522,4,0,,,,,,,,,,,,,,
36524,1,3,,,3,30,1,10,,,,,,,,
36524,2,1,2,,,23,1,35,,,,,,,,
36524,3,1,2,,,24,1,30,,,,,,,,
36697,1,1,2,,,19,1,40,,64,80,1,85,,,
36774,1,2,2,,1,31,1,24,,,,,,,,
36774,2,0,,,,,,,,,,,,,,
36774,3,0,,,,,,,,,,,,,,
36774,4,,,,,,,,,,,,,,,
36893,1,2,2,,3,21,1,37,,,,,,,,
36893,2,1,2,,,20,1,35,,65,40,,,,,
36893,3,0,,,,,,,,,,,,,,
37001,1,2,2,,3,15,1,4,,,,,,,,
37001,2,4,2,,1,15,1,40,,,,,,,,
37001,3,4,1,6,3,19,1,15,33,,,2,,,,
37001,4,0,,,,,,,,,,,,,,
37011,1,1,2,,,26,1,36,,,,,,,,
37011,2,1,2,,,23,1,36,,,,,,,,
37042,1,2,2,,1,22,1,37,28,62,70,2,,,,
37042,2,2,2,,1,22,1,37,,,,,,,,
37299,1,1,2,,,20,1,20,,65,60,2,,,,
37299,2,0,,,,,,,,,,,,,,
37299,3,1,2,,,18,1,4,,,,,,,,
37299,4,0,,,,,,,,,,,,,,
37459,1,2,,,1,17,1,23,,,,,,,,
37459,2,0,,,,,,,,,,,,,,
37459,3,1,1,3,,21,1,2,,,,3,,,,
37521,1,1,2,,,19,1,38,,,,,,,,
37665,1,3,1,2,1,16,1,31,31,65,60,2,,,,
37665,2,3,2,,1,12,1,41,38,60,85,1,90,,,
37665,3,2,2,,1,12,2,,,,,,,,,
37677,1,1,2,,,20,1,35,,,,,,,,
37677,2,0,,,,,,,,,,,,,,
37721,1,3,2,,3,18,1,31,,,,,,,,
37721,2,3,2,,3,13,1,20,,,,,,,,
37810,1,1,1,10,,19,1,20,,,,,,,,
38014,1,4,2,,1,20,1,8,,,,,,,,
38014,2,1,2,,,17,1,40,,,,,,,,
38014,3,4,2,,1,21,1,1,29,,,3,,,,
38095,1,0,,,,,,,,,,,,,,
38095,2,1,2,,,16,1,34,,,,2,,,,
38095,3,0,,,,,,,,,,,,,,
38095,4,1,,,,28,1,1,,,,,,,,
38106,1,2,2,,1,22,1,35,,,,,,,,
38106,2,1,2,,,25,1,15,,,,,,,,
38112,1,1,2,,,23,1,28,,62,60,2,,,,
38112,2,2,2,,3,24,1,27,49,65,60,,,,,
38112,3,0,,,,,,,,,,,,,,
38112,4,,,,,,,,,,,,,,,
38135,1,6,1,4,1,23,1,6,39,70,60,2,,,,
38255,1,0,,,,,,,,,,,,,,
38255,2,1,1,1,,16,1,37,,,,2,,,,
