nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,carta,carte,usocart,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,cartdeb,cartdeb1,fscoper1,DEPOSIT,NDEPOSIT
33751,2,,,1,1,1,2,,,,1,2,1,1,2,2,,1000,1,,,,1,1
33761,1,1,2,2,2,1,2,,,,1,1,2,1,2,2,,2000,1,,,,1,2
33773,2,,,1,1,3,,,,,2,,,1,1,1,1,1000,1,,,,1,1
33823,2,,,1,1,2,,,,,2,,,1,1,2,,600,2,,,,1,1
33839,,,,1,1,,,,,,2,,,1,1,2,,590,2,,,,1,1
33877,2,,,1,1,2,,,,,1,1,2,1,1,2,,1000,2,,,,1,1
33882,1,1,2,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
33937,2,,,2,2,2,,,,,2,,,1,2,2,,1000,2,,,,1,2
33983,2,,,1,1,2,,,,,1,2,1,1,2,1,2,2000,2,,,,1,3
33985,2,,,1,1,2,,,,,1,6,2,1,2,1,2,1000,1,,,,1,1
33994,2,,,1,1,1,2,,,,2,,,1,1,2,,1200,2,,,,1,1
34059,1,1,1,2,2,2,,,,,1,2,2,1,2,1,2,400,1,,,,1,2
34252,2,,,1,1,2,,,,,2,,,2,,2,,850,2,,,,1,2
34396,2,,,1,1,2,,,,,1,1,2,2,,2,,1000,2,,,,1,1
34732,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,1
34778,2,,,1,1,2,,,,,2,,,2,,2,,800,2,,,,1,2
34793,,,,,,,,,,,2,,,2,,2,,1000,2,,,,2,0
34825,2,,,2,2,2,,,,,1,1,1,1,3,1,1,1000,2,,,,1,3
34900,2,,,2,2,2,,,,,2,,,1,1,2,,750,2,,,,1,2
35005,2,,,1,1,1,1,11,100,0,1,1,1,2,,2,,600,2,,,,1,2
35022,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
35032,1,1,1,1,1,1,2,,,,1,1,2,1,2,1,3,1400,1,,,,1,3
35234,2,,,1,1,1,2,,,,2,,,1,1,2,,200,2,,,,1,1
35319,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
35322,2,,,2,2,2,,,,,2,,,2,,2,,900,2,,,,1,2
35323,,,,1,1,,,,,,2,,,2,,2,,800,2,,,,1,1
35326,,,,1,1,,,,,,2,,,2,,2,,1500,2,,,,1,1
35340,,,,1,1,,,,,,2,,,2,,2,,500,2,,,,1,1
35349,,,,1,1,,,,,,2,,,2,,2,,1000,2,,,,1,1
35355,,,,1,1,,,,,,2,,,2,,2,,650,2,,,,1,1
35370,,,,1,1,,,,,,2,,,2,,2,,650,2,,,,1,1
35372,2,,,1,1,2,,,,,2,,,1,2,2,,2000,2,,,,1,2
