nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
878074,31829.040277,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,24000,0,7829.0402769,7700,0,7700,129.04027693,129.04027693,0,0,0
878076,19777.424166,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,5477.4241662,5400,0,5400,77.424166158,77.424166158,0,0,0
878081,36055.917453,13000,13000,0,0,0,0,0,0,0,0,0,0,0,23000,23000,0,55.917453337,0,0,0,55.917453337,55.917453337,0,0,0
878094,18066.161108,0,0,0,17550,17550,17550,0,0,0,0,0,0,0,0,0,0,516.16110772,0,0,0,516.16110772,516.16110772,0,0,0
878101,50761.887157,37150,37150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13611.887157,13400,5000,8400,211.88715663,211.88715663,0,0,0
878103,21265.262025,14900,14900,0,3250,3250,3250,0,0,0,0,0,0,0,0,0,0,3115.2620252,8800,0,8800,-5684.737975,7.7424166158,0,0,5692.4803914
878117,22055.477797,0,0,0,9880,9880,9880,0,0,0,0,0,0,0,0,0,0,12175.477797,12000,4800,7200,175.47779709,175.47779709,0,0,0
878120,14577.742417,0,0,0,8820,8820,8820,0,0,0,0,0,0,0,0,0,0,5757.7424166,5750,0,5750,7.7424166158,7.7424166158,0,0,0
878121,15251.616111,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,4851.6161108,4800,0,4800,51.616110772,51.616110772,0,0,0
878135,13169.312814,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,169.31281433,0,0,0,169.31281433,169.31281433,0,0,0
878142,40540.45963,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,24290.45963,24000,0,24000,290.45962988,129.04027693,0,161.41935295,0
878154,25866.116136,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,5066.1161365,4800,0,4800,266.11613647,36.141214663,229.9749218,0,0
878156,25443.013426,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5443.0134256,5400,0,5400,43.013425644,43.013425644,0,0,0
878157,46198.657897,20000,20000,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,6198.6578972,6000,0,6000,198.6578972,35.021722821,163.63617438,0,0
878165,18448.245115,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,5448.2451148,5400,0,5400,48.245114823,48.245114823,0,0,0
878173,26089.193637,22000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4089.1936371,6000,0,6000,-1910.806363,52.117910012,0,0,1962.9242729
878176,15012.763345,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.763344767,0,0,0,12.763344767,12.763344767,0,0,0
878182,17017.898117,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,17000,0,17.898116614,0,0,0,17.898116614,17.898116614,0,0,0
878194,52111.834907,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,40000,0,12111.834907,12000,0,12000,111.83490667,111.83490667,0,0,0
878197,34786.026851,29900,29900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4886.0268513,4800,0,4800,86.026851287,86.026851287,0,0,0
878201,60465.876331,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,55000,0,5465.8763308,8400,0,8400,-2934.123669,206.55516741,0,0,3140.6788367
878207,55701.946406,48000,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7701.946406,7200,0,7200,501.94640604,73.71456966,428.23183638,0,0
878212,23753.441074,23750,23750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4410740515,0,0,0,3.4410740515,3.4410740515,0,0,0
878218,20225.808055,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,7225.8080554,7200,0,7200,25.808055386,25.808055386,0,0,0
878219,21953.657603,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,7653.6576026,6600,0,6600,1053.6576026,27.894462852,1025.7631397,0,0
878223,46919.298856,20000,20000,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,8719.2988565,6600,0,6600,2119.2988565,57.081530926,2062.2173255,0,0
878238,21025.808055,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6025.8080554,6000,0,6000,25.808055386,25.808055386,0,0,0
878281,14181.036509,0,0,0,6370,6370,6370,0,0,0,0,0,0,0,0,0,0,7811.0365092,7800,0,7800,11.03650916,11.03650916,0,0,0
878284,51529.040277,0,0,0,0,0,0,0,0,0,0,0,0,0,23500,23500,0,28029.040277,27900,0,27900,129.04027693,129.04027693,0,0,0
878292,58298.024944,42120,42120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16178.024944,12000,0,12000,4178.0249435,4178.0249435,0,0,0
878293,110175.75263,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100000,0,10175.752628,18000,0,18000,-7824.247372,27.449719528,0,0,7851.6970916
878295,42314.639137,0,0,0,24570,24570,24570,0,0,0,0,0,0,0,0,0,0,17744.639137,16800,4200,12600,944.63913691,25.797061262,657.1519846,261.69009105,0
878305,40909.226593,37000,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3909.2265925,7200,0,7200,-3290.773407,46.19785647,0,0,3336.9712639
878307,32253.877777,26800,26800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5453.8777767,9000,0,9000,-3546.122223,18.548256304,0,0,3564.6704796
878308,68279.991546,5000,5000,0,42900,42900,42900,0,0,0,0,0,0,0,0,0,0,20379.991546,18000,6000,12000,2379.9915462,876.27700945,0,1503.7145368,0
878309,46066.483721,38000,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8066.483721,7800,0,7800,266.48372099,43.90704189,222.5766791,0,0
878316,87173.275572,42800,42800,0,0,0,0,0,0,0,0,0,0,0,35000,35000,0,9373.2755719,9400,0,9400,-26.72442808,166.63675374,0,474.03307098,667.39425279
878323,20850.427729,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,6550.4277289,6000,0,6000,550.42772893,33.416321415,517.01140752,0,0
878324,39081.808338,24700,24700,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,6581.8083382,6500,0,6500,81.808338245,81.808338245,0,0,0
878352,16383.013426,0,0,0,12740,12740,12740,0,0,0,0,0,0,0,0,0,0,3643.0134256,3600,0,3600,43.013425644,43.013425644,0,0,0
878398,17527.331579,0,0,0,13741,13741,13741,0,0,0,0,0,0,0,0,0,0,3786.3315792,4200,0,4200,-413.6684208,10.323222154,0,0,423.99164295
878400,3201.720537,0,0,0,700,0,0,0,700,0,0,700,700,0,0,0,0,2501.720537,2500,0,2500,1.7205370257,1.7205370257,0,0,0
