nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
29823,1,0,0,3900,0,0,0,0,0,0,3900,0,0,3900,0,0,6000,6000,8.6026851287,0,0,0,8.6026851287,6008.6026851,9908.6026851,0,0
29823,2,24000,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0
31092,1,39000,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,1100,1100,172.05370257,608.79260518,0,0,780.84630776,1880.8463078,40880.846308,0,0
31093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,0,43200,43200,94.629536416,1187.1455801,1521.981513,0,2803.7566295,46003.756629,102003.75663,0,56000
31219,1,0,0,9600,0,0,0,0,0,0,9600,0,0,9600,0,0,3600,3600,2.5808055386,0,0,0,2.5808055386,3602.5808055,13202.580806,0,0
31220,1,0,0,14400,0,0,0,0,0,0,14400,0,0,14400,1000,20000,13200,33200,68.82148103,0,3979.4411962,0,4048.2626772,37248.262677,52648.262677,1000,0
31220,2,0,0,10320,0,0,0,0,0,0,10320,0,0,10320,0,0,0,0,0,0,0,0,0,0,10320,0,0
31221,1,0,0,18900,0,0,0,0,0,0,18900,0,0,18900,0,0,30000,30000,30.109397951,0,0,0,30.109397951,30030.109398,48930.109398,0,0
31221,2,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,0,0,0,0,0,0,0,0,7800,0,0
31246,1,0,0,16835,0,0,0,0,0,0,16835,0,0,16835,0,0,3600,3600,25.222546636,0,4627.1066164,0,4652.329163,8252.329163,25087.329163,0,0
31246,2,0,0,15730,0,0,0,0,0,0,15730,0,0,15730,0,0,0,0,0,0,0,0,0,0,15730,0,0
31304,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,7200,7200,129.04027693,0,760.99075648,0,890.03103341,8090.0310334,23690.031033,0,0
31304,2,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,0,0,0,0,0,0,0,0,9100,0,0
31448,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,7200,7200,129.04027693,821.87001699,834.3,0,1785.2102939,8985.2102939,34985.210294,0,0
31625,1,0,0,9360,0,0,0,0,0,0,9360,0,0,9360,0,0,16700,16700,147.73344988,0,0,0,147.73344988,16847.73345,26207.73345,0,0
31625,2,25000,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0
31652,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,2880,4600,7480,83.601708324,0,333.90494733,0,417.50665566,7897.5066557,33897.506656,0,0
31652,2,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,0,0,0,0,0,0,0,0,15600,0,0
31665,1,0,0,8060,0,0,0,0,0,0,8060,0,0,8060,0,0,7200,7200,112.02409965,0,0,0,112.02409965,7312.0240997,15372.0241,0,0
31665,2,0,0,6240,0,0,0,0,0,0,6240,0,0,6240,0,0,0,0,0,0,0,0,0,0,6240,0,0
31671,1,0,0,24700,0,0,0,0,0,0,24700,0,0,24700,0,0,6000,6000,249.47786873,243.51704207,570.49907565,0,1063.4939865,7063.4939865,31763.493986,0,0
31695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,7200,309.69666463,0,0,0,309.69666463,7509.6966646,7509.6966646,0,0
31695,2,23000,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0
31695,3,21500,0,0,0,0,0,0,0,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21500,0,0
31695,4,7700,0,0,0,0,0,0,0,7700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700,0,0
