nquest,Y,CN,CD1,CD2,CD,C,S
501569,42101.636605,36000,0,0,0,36000,6101.6366054
501627,10046.882148,11400,0,0,0,11400,-1353.117852
501664,31412.904028,27600,0,0,0,27600,3812.9040277
501694,34009.168897,25200,0,700,700,25900,8109.1688971
501816,31930.109398,20400,0,0,0,20400,11530.109398
501874,24039.687771,21600,0,0,0,21600,2439.6877715
502060,8534.4107405,11880,0,0,0,11880,-3345.589259
502157,20443.013426,18600,-5000,0,-5000,13600,6843.0134256
502355,49691.568696,19700,0,280,280,19980,29711.568696
502364,26758.018796,18600,0,0,0,18600,8158.0187959
502366,10645.808055,9600,0,0,0,9600,1045.8080554
502772,30049.904044,40200,0,0,0,40200,-10150.09596
503308,33235.657407,22560,0,0,0,22560,10675.657407
503431,28772.867128,15600,0,0,0,15600,13172.867128
503560,34150.578525,25560,0,0,0,25560,8590.5785254
503561,50141.533206,23400,0,0,0,23400,26741.533206
503593,30606.20453,18000,0,0,0,18000,12606.20453
503674,120790.44129,61600,0,0,0,61600,59190.441294
503788,34741.056726,26000,0,0,0,26000,8741.056726
503804,48561.083439,30400,0,0,0,30400,18161.083439
503850,78895.844431,31900,6000,0,6000,37900,40995.844431
503931,73221.272661,49400,0,1500,1500,50900,22321.272661
503950,42849.306152,29040,0,0,0,29040,13809.306152
503981,41278.013426,21600,0,0,0,21600,19678.013426
504091,22916.155748,15600,0,0,0,15600,7316.1557478
504110,76626.822164,18600,38000,0,38000,56600,20026.822164
504129,20812.340565,15600,0,0,0,15600,5212.3405649
504157,11208.361269,19800,0,65,65,19865,-8656.638731
504359,27540,21600,0,0,0,21600,5940
504363,18768.602685,10620,0,0,0,10620,8148.6026851
504380,26406.902035,20400,0,800,800,21200,5206.9020349
504395,66683.527711,26400,8700,0,8700,35100,31583.527711
504453,50178.510273,30000,0,0,0,30000,20178.510273
504483,53451.906018,16200,0,80,80,16280,37171.906018
504551,19012.904028,15600,0,0,0,15600,3412.9040277
504584,24124.761071,12600,0,0,0,12600,11524.761071
504730,42567.901754,28000,0,3600,3600,31600,10967.901754
504792,44849.59398,27600,0,250,250,27850,16999.59398
504821,90298.638971,28800,0,0,0,28800,61498.638971
504885,7850,14400,0,0,0,14400,-6550
504889,54337.233362,45600,300,500,800,46400,7937.2333624
504921,40823.11453,28800,0,6000,6000,34800,6023.1145302
504937,16300,15900,0,0,0,15900,400
504956,31041.960338,21000,0,0,0,21000,10041.960338
505022,15341.969421,16800,0,0,0,16800,-1458.030579
505167,26158.557127,13800,200,8000,8200,22000,4158.5571269
505228,52929.107405,46800,0,0,0,46800,6129.1074051
505243,65508.080554,29400,0,0,0,29400,36108.080554
505390,82261.695311,36000,0,0,0,36000,46261.695311
505407,25690.437592,21200,0,0,0,21200,4490.4375918
505424,52625.381682,41600,8000,3300,11300,52900,-274.6183181
505433,56280.066422,54100,0,0,0,54100,2180.0664217
505517,36169.940319,21000,0,0,0,21000,15169.940319
505525,48703.120927,30400,0,0,0,30400,18303.120927
505534,36811.975338,28800,0,200,200,29000,7811.975338
505540,13794.966111,12000,0,500,500,12500,1294.9661108
505548,36720.231149,28400,0,0,0,28400,8320.2311494
505566,1754.3013426,7560,0,0,0,7560,-5805.698657
505576,18650.883564,13800,0,0,0,13800,4850.8835641
505594,26582.013426,14400,0,168,168,14568,12014.013426
505606,46371.716074,32400,400,2100,2500,34900,11471.716074
505655,68526.553263,45600,0,10000,10000,55600,12926.553263
505672,97479.020093,57700,0,600,600,58300,39179.020093
505681,19200.987705,18000,0,0,0,18000,1200.9877046
505768,53732.425185,30000,0,0,0,30000,23732.425185
505771,56979.834907,37200,0,0,0,37200,19779.834907
505806,37311.840293,16800,0,0,0,16800,20511.840293
505810,157801.61611,108000,0,2000,2000,110000,47801.616111
505818,123949.50965,37800,0,1000,1000,38800,85149.509647
505820,27327.528629,15600,0,0,0,15600,11727.528629
505839,41349.161365,21589.702173,14500,390,14890,36479.702173,4869.459192
505881,45960.420181,18000,0,0,0,18000,27960.420181
506025,47420.398222,25200,0,50,50,25250,22170.398222
506100,9402.0537026,9000,0,0,0,9000,402.05370257
506107,42052.580806,41040,4500,0,4500,45540,-3487.419194
506112,27823.888609,21600,0,0,0,21600,6223.8886092
506152,30554.466413,15680,20000,0,20000,35680,-5125.533587
506153,34673.075492,27600,0,0,0,27600,7073.0754925
506195,21643.013426,32400,0,0,0,32400,-10756.98657
506374,13868.821481,13800,0,0,0,13800,68.82148103
506385,61444.674439,41400,0,0,0,41400,20044.674439
506396,19948.128194,20400,0,0,0,20400,-451.8718061
506402,15463.067128,17200,0,0,0,17200,-1736.932872
506410,42386.026851,27200,0,0,0,27200,15186.026851
506413,49595.252222,28800,13000,0,13000,41800,7795.2522215
506418,18198.026851,16800,0,0,0,16800,1398.0268513
506446,43419.116518,24000,0,1000,1000,25000,18419.116518
506458,49666.857854,27600,0,1000,1000,28600,21066.857854
506492,40279.191294,23400,0,0,0,23400,16879.191294
506565,63821.531571,38500,0,0,0,38500,25321.531571
506613,16764.410741,14400,0,0,0,14400,2364.4107405
506628,79403.232222,53800,0,0,0,53800,25603.232222
506736,35556.245647,34200,-1000,0,-1000,33200,2356.2456472
506738,37012.904028,32400,0,2200,2200,34600,2412.9040277
506758,27436.026851,25600,0,1100,1100,26700,736.02685129
506767,50447.389656,26400,20000,0,20000,46400,4047.3896555
506798,23800,24720,0,0,0,24720,-920
506799,65363.893581,50000,0,0,0,50000,15363.893581
507037,51831.134002,33600,19000,0,19000,52600,-768.865998
507081,62096.50606,42592.372836,1500,2300,3800,46392.372836,15704.133224
507147,71730.057046,33600,0,0,0,33600,38130.057046
507157,6500,11400,0,0,0,11400,-4900
507182,42374.848332,24000,0,0,0,24000,18374.848332
507185,62793.812224,31000,0,0,0,31000,31793.812224
507190,25773.125421,21600,0,0,0,21600,4173.1254208
507282,43911.032889,34800,0,2000,2000,36800,7111.0328891
507303,35465.314768,24100,0,0,0,24100,11365.314768
507316,35780.834907,31200,0,0,0,31200,4580.8349067
507319,18535.808055,16800,0,0,0,16800,1735.8080554
507322,50737.642962,37200,0,0,0,37200,13537.642962
