nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
893053,2,,2,1,1,2,,,,5,1,5,1,,,,,5,1
893055,2,,1,1,2,2,,2,,3,1,2,1,,,,,2,1
893062,2,,1,2,,1,4,2,,2,1,2,1,,,,,5,1
893066,2,,3,1,4,2,,,2007,3,1,3,1,5,1,5,1,2,1
893076,1,,1,2,,1,5,,,1,1,1,1,,,,,1,1
893077,1,,2,2,,1,4,,1975,1,1,1,1,1,1,1,1,2,1
893081,2,,1,2,,1,3,,,1,1,1,1,,,,,1,0
893082,2,,1,2,,2,,2,,1,1,1,1,,,,,3,0
893122,2,,5,1,4,2,,,1991,4,1,3,1,3,1,3,1,1,1
893133,2,,3,2,,1,2,,1975,4,1,2,1,2,1,2,1,1,1
893141,2,,3,1,1,1,1,,1984,4,1,3,1,4,1,4,1,1,1
893172,1,,2,2,,1,2,,1968,2,1,2,1,2,1,2,1,2,1
893173,1,,2,2,,2,,2,,2,1,2,1,,,,,2,1
893180,1,,2,2,,1,1,,1959,2,1,2,1,7,1,3,1,1,1
893181,1,,4,2,,1,3,,1971,2,1,2,1,1,1,1,1,2,1
893189,2,,3,2,,1,1,,1985,3,1,2,1,2,1,2,1,2,1
893192,2,,3,1,1,2,,,1993,2,1,2,1,3,1,3,1,1,1
893194,2,,4,1,4,2,,,1999,4,1,4,1,3,1,4,1,1,1
893197,2,,5,1,2,2,,,1999,3,1,3,1,3,1,4,1,2,1
893200,2,,3,2,,2,,,1991,2,1,2,1,4,1,3,1,2,1
893201,2,,6,1,1,2,,,2000,3,2,3,,3,2,2,2,2,1
893204,2,,3,1,1,2,,,1984,1,1,1,1,1,1,2,1,2,1
893209,2,,3,1,2,2,,,2003,3,1,3,1,4,1,4,1,2,1
893214,2,,3,2,,1,4,,1976,2,1,2,1,4,1,2,1,2,1
893224,1,,2,2,,1,2,,,2,1,2,1,,,,,2,1
893225,1,,1,2,,2,,,,4,1,3,1,,,,,2,1
893226,1,,3,2,,1,1,,1967,2,1,2,1,2,1,2,1,2,1
893227,1,,3,2,,1,2,,1976,2,1,2,1,2,1,2,1,3,0
893229,1,,3,2,,2,,,2009,3,1,3,1,3,1,3,1,2,1
893230,1,,2,2,,1,2,,1950,1,1,1,1,2,1,2,1,2,1
893232,1,,2,2,,1,2,,1950,2,1,2,1,2,1,2,1,2,1
893233,1,,2,1,1,1,1,,,3,1,2,1,,,,,3,1
893236,2,,2,1,1,1,2,,1972,2,1,2,1,2,1,2,1,1,1
893237,2,,4,1,1,2,,2,,2,1,2,,,,,,1,1
893239,2,,2,2,,2,,,1984,2,1,2,1,2,1,2,1,2,1
