nquest,nord,INTPER,attivp,partime,contratt,tuttanno,mesilav,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
513377,1,1,1,1,1,1,12,8,36,2,,16000,2,0
513406,3,1,1,1,1,1,12,7,30,2,,15000,2,0
513411,1,1,1,1,1,1,12,8,40,1,2,22000,2,0
513427,1,1,1,1,1,1,12,8,36,2,,22200,2,0
513427,2,1,1,1,1,1,12,3,40,1,10,20000,2,0
513437,1,1,1,2,1,1,12,8,20,2,,9000,2,0
513437,2,2,1,1,1,1,12,8,36,1,5,30000,1,360
513449,1,1,1,1,2,2,9,5,24,2,,12500,2,0
513449,2,2,1,1,1,1,12,5,36,1,0,20500,2,0
611412,1,1,1,1,1,1,12,8,38,2,,50000,2,0
611412,2,1,1,1,1,1,12,8,38,2,,47000,2,0
611441,1,1,1,1,2,1,12,7,40,2,,20000,2,0
611441,2,2,1,1,1,1,12,4,40,2,,23000,2,0
611614,1,1,1,2,1,1,12,2,20,2,,7000,2,0
611614,2,2,1,1,1,1,12,6,36,1,5,28000,2,0
611614,3,1,1,1,2,1,12,8,36,2,,12000,2,0
611614,4,1,1,1,2,2,2,7,40,2,,1600,2,0
611614,4,1,1,1,3,2,1,6,36,2,,1400,2,0
611614,4,1,1,2,2,2,3,2,10,2,,700,2,0
611774,2,1,1,1,1,1,12,8,50,2,,54000,1,900
612011,2,1,1,1,1,1,12,2,40,2,,16250,1,350
612423,1,1,1,1,1,1,12,4,40,2,,17360,2,0
612423,2,2,1,1,1,1,12,3,40,2,,14280,2,0
614660,1,1,1,2,1,1,12,1,25,2,,6500,2,0
614683,2,1,1,1,1,1,12,8,40,2,,41600,2,0
615399,1,1,1,1,1,1,12,7,37,2,,18200,2,0
615399,3,3,1,1,1,1,12,1,40,2,,13000,2,0
616313,1,1,1,1,1,1,12,7,38,2,,32500,1,1200
616313,2,1,1,1,1,1,12,8,18,2,,24000,2,0
617023,1,1,1,1,1,1,12,7,38,2,,25000,1,1400
617023,2,1,1,1,1,2,11,4,40,1,10,23000,2,0
617398,2,1,1,1,1,1,12,8,40,2,,48000,2,0
620481,1,1,1,1,1,1,12,7,36,2,,20000,1,1500
620829,1,1,1,1,1,1,12,8,18,2,,22000,2,0
620858,2,2,1,2,1,1,12,2,20,2,,14040,2,0
620858,3,2,1,1,2,1,12,2,25,2,,10400,2,0
621685,1,1,1,1,1,1,12,7,40,2,,19500,2,0
621773,2,1,1,1,1,1,12,4,40,2,,15600,2,0
621773,3,1,1,1,3,2,3,4,40,2,,2100,2,0
622034,1,1,1,1,1,1,12,8,30,2,,24000,2,0
623300,3,1,1,1,1,1,12,3,40,2,,16900,2,0
623300,4,1,1,1,2,2,6,3,30,2,,6500,2,0
623305,1,1,1,1,1,1,12,4,40,2,,18000,2,0
623606,1,1,1,1,1,2,7,2,40,2,,8000,2,0
623614,2,1,1,2,1,3,,1,15,2,,5000,2,0
625536,1,1,1,2,2,1,12,4,20,2,,8000,2,0
625641,2,1,1,1,1,2,8,8,36,1,1,14000,2,0
625983,1,1,1,1,1,1,12,8,36,2,,19000,1,700
625983,2,1,1,1,1,1,12,8,36,2,,19000,1,700
625983,3,1,1,1,1,1,12,8,30,2,,36400,2,0
625983,4,1,1,1,1,1,12,6,20,2,,13000,2,0
626162,1,1,1,1,1,1,12,8,36,2,,25000,1,320
626259,1,1,2,1,1,1,12,2,40,1,10,16000,1,
626259,3,1,1,1,1,1,12,2,40,1,2,20000,2,0
626310,2,1,1,1,1,1,12,5,36,1,3,25000,1,2000
626851,1,1,1,1,1,1,12,8,36,2,,47000,2,0
626851,2,1,1,1,1,1,12,8,36,2,,26000,2,0
627314,1,1,1,1,1,1,12,6,36,1,4,18000,1,350
627314,2,1,1,1,1,2,6,1,36,2,,14000,2,0
627314,3,1,1,1,1,1,12,1,70,2,,8000,2,0
627479,2,1,1,1,1,1,12,2,45,2,,15600,2,0
627842,1,1,1,2,1,1,12,3,15,2,,5000,2,0
627842,3,1,1,2,2,1,12,4,30,2,,12000,2,0
629458,2,1,1,1,1,1,12,3,40,2,,21000,2,0
629555,1,1,1,1,1,1,12,2,45,1,1,30000,2,0
630345,1,1,1,1,1,1,12,5,36,2,,15000,2,0
630345,2,1,1,2,3,2,6,2,20,2,,4500,2,0
631712,1,1,1,1,1,1,12,8,36,1,0,19000,2,0
631712,4,4,1,1,1,1,12,4,32,2,,20000,2,0
631712,5,1,1,1,1,1,12,2,32,2,,18000,2,0
632347,1,1,1,1,1,2,9,5,40,1,16,13000,2,0
633412,1,1,1,1,1,1,12,7,36,1,9,19000,2,0
633412,2,2,1,1,1,1,12,7,36,1,8,19000,2,0
633654,3,1,1,2,2,2,1,2,20,2,,500,2,0
633654,4,1,1,2,2,2,8,7,20,2,,5000,2,0
634144,2,1,1,1,1,1,12,8,36,1,3,24000,2,0
634732,2,1,1,1,1,2,11,7,37,2,,22000,2,0
635112,1,1,1,1,1,1,12,8,40,2,,22000,1,800
635112,2,2,1,1,1,1,12,8,36,1,1,14000,2,0
635263,1,1,1,1,1,1,12,8,45,1,4,21000,2,0
635263,2,1,1,1,1,1,12,8,38,2,,22000,2,0
635346,1,1,1,1,1,1,12,4,50,2,,26000,1,14000
635346,2,1,1,1,1,1,12,2,30,2,,6000,2,0
635513,1,1,1,1,1,1,12,3,30,2,,18000,2,0
635514,3,1,1,1,1,1,12,1,16,2,,12000,2,0
636237,1,1,1,2,1,1,12,4,30,2,,15000,2,0
636305,2,1,1,1,1,1,12,2,40,2,,20000,2,0
637701,4,1,1,1,1,1,12,2,40,2,,15000,2,0
638339,1,1,1,1,1,1,12,4,40,2,,26600,2,0
638339,2,1,1,1,1,1,12,2,40,2,,13800,2,0
638395,1,1,1,1,1,1,12,7,50,2,,40000,2,0
638395,2,1,1,1,2,2,8,8,10,2,,8000,2,0
639013,1,1,2,2,2,3,,1,6,2,,1344,2,0
639013,2,2,1,2,1,2,7,1,25,2,,1575,2,0
639331,1,1,1,2,1,1,12,2,25,1,2,12000,2,0
639331,2,1,1,1,1,1,12,3,40,2,,17000,2,0
639331,3,1,1,1,1,1,12,3,40,2,,17000,2,0
