nquest,nord,INTPER,entepen,tipopen,decor,tpens,mesipen,arret,quotape,tarret
501068,1,1,1,1,2007,1100,13,2,75,0
501082,1,1,1,1,2011,1410,13,2,80,0
501627,1,1,1,5,2002,580,13,2,,0
501694,1,1,1,1,2014,1200,13,2,80,0
501694,2,1,1,1,2012,1400,13,2,80,0
501816,1,1,1,5,1996,600,13,2,,0
501874,1,1,1,1,2005,1350,13,2,90,0
502157,1,1,1,1,1977,1200,13,2,80,0
502157,1,1,1,4,2014,400,12,2,,0
502364,1,1,1,1,1995,480,13,2,50,0
502364,1,1,6,5,2014,1200,13,2,,0
502366,1,1,1,1,2000,540,13,2,50,0
502772,1,1,1,1,2005,1050,13,2,60,0
503308,1,1,1,1,2008,1925,12,2,110,0
503431,1,1,1,1,1988,1100,13,2,80,0
503431,1,1,1,5,2013,400,13,2,,0
503560,1,1,1,1,2011,1470,13,2,60,0
503561,1,1,1,1,2001,2190,13,2,60,0
503561,2,2,1,1,1985,748,13,2,60,0
503674,1,1,1,1,2006,3000,13,2,80,0
503788,1,1,1,1,1999,1000,13,2,50,0
503788,2,1,1,1,2004,650,13,2,65,0
503804,1,1,1,1,2001,600,13,2,75,0
503804,2,1,1,1,1999,1900,13,2,80,0
503850,2,1,2,1,2014,1900,13,2,100,0
503931,1,1,1,1,2012,2000,13,2,80,0
503931,2,2,1,1,2011,2000,13,2,80,0
503981,1,1,1,1,1991,495,13,2,50,0
503981,2,1,1,1,1996,1500,13,2,90,0
503981,2,1,1,4,1991,900,13,2,,0
504091,1,1,1,1,1992,800,13,2,50,0
504091,2,2,1,1,1994,500,13,2,50,0
504129,2,1,1,1,2005,1000,13,2,80,0
504359,2,1,1,1,2008,1380,13,2,80,0
504363,1,1,1,1,1998,1000,13,2,70,0
504363,2,1,3,6,1986,400,13,2,,0
504380,1,1,1,1,1990,1360,13,2,80,0
504395,1,1,1,5,1992,420,13,2,,0
504483,1,1,1,1,2007,1400,13,2,90,0
504551,1,1,1,1,1997,500,13,2,50,0
504551,1,1,1,5,2002,500,13,2,,0
504730,1,1,1,1,1997,830,13,2,60,0
504730,2,1,1,1,2007,550,13,2,60,0
504792,1,1,1,1,2005,1500,13,2,80,0
504792,2,2,1,1,2003,1200,13,2,80,0
504885,1,1,1,1,2004,500,13,2,10,0
504889,1,1,1,1,2008,2400,13,2,70,0
505167,1,1,1,1,1991,1000,12,2,90,0
505167,2,1,1,1,1995,900,12,2,90,0
505228,1,1,1,5,2001,535,13,2,,0
505228,1,1,2,1,2011,1570,13,2,95,0
505243,1,1,1,1,2000,2150,13,2,90,0
505243,2,2,1,1,2010,380,13,2,30,0
505407,1,1,1,1,1994,360,13,2,40,0
505407,1,1,1,5,1991,530,13,2,,0
505433,1,1,1,1,1991,2130,13,2,90,0
505517,1,1,1,1,2007,800,13,2,80,0
505517,2,1,2,1,2005,1600,13,2,90,0
505525,1,1,1,1,1996,1100,13,2,80,0
505525,2,2,1,1,2006,800,13,2,80,0
505534,1,1,1,1,2007,1620,13,2,80,0
505534,2,1,1,4,2010,270,13,2,,0
505534,3,1,1,3,2011,270,13,2,,0
505540,1,1,1,1,1980,450,13,2,50,0
505540,1,1,1,5,1981,200,13,2,,0
505548,1,1,1,1,1987,420,13,2,50,0
505548,1,1,1,5,2004,430,13,2,,0
505548,2,1,1,4,1978,270,13,2,,0
505576,1,1,1,1,1990,770,13,2,70,0
505576,2,2,1,1,2011,480,13,2,70,0
505594,1,1,1,1,2007,903,13,2,70,0
505606,1,1,1,1,2010,1100,13,2,80,0
505606,1,1,1,5,2014,1800,13,2,,0
505655,1,1,1,1,2013,2890,13,2,70,0
505672,1,1,1,1,2006,1850,13,2,70,0
505672,2,2,1,1,2001,1100,13,2,70,0
505681,1,1,1,5,2000,750,13,2,,0
505771,1,1,1,1,1990,2000,13,2,70,0
505806,1,1,1,1,1983,750,13,2,70,0
505806,1,1,1,5,1991,300,12,2,,0
505810,1,1,1,1,2010,890,13,2,15,0
505820,1,1,1,1,2005,800,13,2,60,0
505820,2,1,1,1,2005,1150,13,2,60,0
505881,1,1,1,1,1998,1435,13,2,80,0
506025,1,1,2,1,1996,1380,13,2,95,0
506025,2,2,2,1,2006,1450,13,2,80,0
506100,1,1,1,1,1993,480,13,2,50,0
506100,1,1,1,5,2011,230,13,2,,0
506107,2,1,1,4,2006,850,13,2,,0
506112,1,1,1,1,1994,980,13,2,80,0
506112,2,2,1,1,1991,480,13,2,70,0
506152,1,1,1,1,1997,280,13,2,40,0
506152,1,1,1,5,1990,330,13,2,,0
506153,1,1,2,1,1997,1250,13,2,98,0
506153,2,2,1,1,2004,1000,13,2,80,0
506195,1,1,1,1,1985,600,13,2,50,0
506374,1,1,1,5,1970,450,12,2,,0
506385,1,1,1,1,1993,1200,13,2,80,0
506402,1,1,1,1,2008,496,13,2,70,0
506413,1,1,1,4,2005,700,13,2,,0
506418,1,1,1,1,1998,495,13,2,80,0
506418,2,2,1,1,1998,529,13,2,80,0
506446,1,1,1,1,1995,1500,13,2,80,0
506446,2,1,1,1,2005,1400,13,2,80,0
506565,1,1,1,1,2006,1350,13,2,50,0
506565,2,2,1,1,2011,2400,13,2,90,0
506613,1,1,1,1,1977,260,13,2,50,0
506613,1,1,1,4,1977,250,13,2,,0
506613,2,2,1,2,1994,500,13,2,,0
506628,6,1,1,1,1981,600,13,2,40,0
506736,1,1,1,1,1996,1400,13,2,90,0
506736,2,2,1,1,1999,1770,13,2,98,0
506758,1,1,1,1,1995,1750,13,2,100,0
506767,1,1,1,1,1996,1350,13,2,100,0
506798,1,1,1,1,2007,1100,13,2,100,0
506798,2,1,1,1,2014,800,5,2,90,0
506799,1,1,1,1,2008,1500,13,2,70,0
506799,2,1,1,1,1978,1100,13,2,80,0
506799,2,1,1,1,2000,400,13,2,80,0
