nquest,nord,sex,parent,anasc,cit,aningr,staciv,studio,tipolau,VOTOEDU,SUEDU,annoedu,tipodip,univer,selode,motiv,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,SETT,PERC,NPERC,CFRED,AREA3,AREA5,ACOM4C,PESOFIT,ISCO
893590,5,1,6,1982,1,,2,6,10,102,110,2013,4,,0,,17,,,,,,15,3,15,5,32,1,7,3,5,0,2,0,3,4,2,0.7959658315,
893593,1,2,1,1941,1,,2,2,,,,,,,,,15,8,7,,,,15,3,15,1,73,5,6,3,5,1,1,1,3,4,2,0.5256900433,
893594,1,2,1,1938,1,,4,1,,,,,,,,,16,,,,,,15,3,15,1,76,5,6,3,5,1,1,1,3,4,2,0.5256900433,
893595,1,1,1,1952,1,,2,3,,,,,,,,,15,1,3,,,,15,3,15,1,62,4,6,3,5,1,1,1,3,4,2,0.4520702761,
893596,1,1,1,1934,1,,4,7,8,110,110,1964,3,,0,,15,5,11,,,,15,3,15,3,80,5,6,3,5,1,3,1,3,4,2,0.6066661839,
893596,2,2,6,1962,1,,2,7,8,108,110,1990,3,,0,,6,,13,,,,9,2,15,3,52,3,4,2,4,1,3,0,3,4,2,0.6066661839,2.5
893596,3,2,6,1970,1,,2,7,5,100,110,1998,3,,0,,6,,6,,,,15,3,15,3,44,2,4,2,4,1,3,0,3,4,2,0.6066661839,2.2
893623,1,1,1,1940,1,,1,2,,,,,,,,,15,8,7,,,,8,1,8,2,74,5,6,3,5,1,2,1,1,2,0,1.00583995,
893623,2,2,2,1947,1,,1,3,,,,,,,,,15,1,19,,,,8,1,8,2,67,5,6,3,5,1,2,0,1,2,0,1.00583995,
893631,1,2,1,1949,1,,3,4,,,,,,,,,15,1,9,,,,16,3,8,2,65,5,6,3,5,1,2,1,1,2,0,1.6702585873,
893631,2,1,6,1980,1,,2,4,,,,,,,,,16,,,,,,1,1,8,2,34,1,6,3,5,1,2,0,1,2,0,1.6702585873,
893634,1,2,1,1930,1,,4,2,,,,,,,,,15,8,3,,,,8,1,8,1,84,5,6,3,5,1,1,1,1,2,0,1.0494121036,
893649,1,1,1,1942,1,,1,2,,,,,,,,,15,8,1,,,,9,2,8,3,72,5,6,3,5,1,3,0,1,2,0,1.2267723215,
893649,2,2,2,1950,1,,1,2,,,,,,,,,15,8,1,,,,15,3,8,3,64,4,6,3,5,1,3,0,1,2,0,1.2267723215,
893649,3,1,6,1990,1,,2,5,,70,100,2009,1,2,0,,1,,1,,,,8,1,8,3,24,1,1,1,1,1,3,1,1,2,0,1.2267723215,6.4
893671,1,2,1,1938,1,,1,5,,7,10,1958,5,2,0,,15,3,16,,,,15,3,15,4,76,5,6,3,5,1,2,0,3,4,2,0.5086183723,
