AREA5,ACOM,SESSO,ETA,NCOMP,D3d,D1d,D2d,D1,D2,D3,D4,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,MODOINT,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,PESO,ID
4,3,1,72,1,4,7,,5,1,2,2,4,3,4,4,4,3,1,2,2,2,1,1,1,0,1,0,1,0,0,7072.6926477975,10111
1,1,2,55,2,4,1,4,5,1,3,1,4,5,2,2,4,3,1,4,5,2,1,1,1,0,0,0,1,1,0,16051.6892841529,10112
3,5,2,74,2,6,7,,2,3,5,1,3,3,2,4,4,3,1,3,2,3,2,1,1,0,0,0,0,0,1,1633.72248078696,10113
2,1,2,81,2,2,7,,3,3,1,4,3,3,4,4,4,3,1,3,2,2,2,5,1,,,,,,,19944.7078112111,10114
3,5,2,71,2,2,7,,2,2,3,4,3,4,4,4,4,3,1,1,2,1,2,1,1,,,,,,,36174.579045945,10115
2,2,1,73,2,3,7,,4,2,3,1,3,3,4,4,4,3,1,4,2,2,1,1,1,1,0,1,0,0,0,9634.95783833484,10116
1,4,2,85,1,1,7,,4,3,3,1,3,5,4,4,4,3,2,3,2,1,2,2,1,0,1,0,1,0,0,23588.4415463461,10117
1,1,1,65,2,3,7,,5,2,3,4,4,5,4,4,4,3,1,4,3,2,2,1,1,,,,,,,12331.044171459,10118
2,1,1,78,2,2,7,,3,3,3,3,3,2,2,4,4,3,2,3,3,2,2,1,1,0,0,0,0,1,0,23615.3628962764,10119
5,1,2,47,5,4,6,,4,1,4,1,3,5,3,4,4,2,2,4,2,1,2,2,1,0,1,0,0,0,0,1340.7248196272,10120
1,5,2,68,2,4,7,,5,1,2,2,3,3,4,4,3,2,2,2,2,1,1,5,1,0,1,0,1,0,0,4639.78547596213,10121
2,2,1,72,2,4,7,,2,4,2,1,3,5,3,4,4,2,1,4,2,1,3,4,1,1,1,0,0,0,0,2822.74127257518,10122
1,3,1,50,4,6,1,9,3,2,2,2,3,4,3,4,4,3,1,3,2,1,2,1,1,0,1,0,0,0,0,8513.30603516429,10123
4,4,2,88,2,2,7,,4,1,2,1,3,3,4,4,3,2,2,4,2,2,2,5,1,0,1,0,1,0,0,16790.2014902119,10124
4,1,2,66,1,3,7,,4,1,4,1,4,3,4,4,4,3,2,1,2,2,1,1,1,0,1,0,0,0,0,9011.19403380935,10125
2,5,1,67,2,3,7,,5,1,2,1,4,2,4,4,4,3,2,1,2,2,1,5,1,0,0,0,1,1,0,12620.1134152295,10126
1,4,1,54,4,6,1,9,6,1,2,2,2,4,3,4,3,2,1,4,2,2,1,2,1,0,1,1,0,0,0,6378.56595202011,10127
4,5,1,69,4,6,7,,4,1,2,1,3,4,4,1,4,2,1,1,3,2,2,3,1,1,0,1,0,0,0,6057.99153609178,10128
3,4,2,84,2,3,7,,3,2,2,3,3,4,4,4,4,3,2,2,3,2,2,1,1,0,1,0,0,0,0,6292.7219681584,10129
4,3,1,70,3,3,7,,4,2,3,4,3,4,4,4,4,3,2,1,3,1,2,5,1,,,,,,,24141.459980509,10130
2,3,2,53,3,4,2,6,2,1,1,4,3,6,1,1,4,3,1,4,3,2,1,4,1,,,,,,,7505.55714827776,10131
5,5,1,74,2,4,7,,4,1,2,3,3,5,4,4,4,3,1,4,2,1,2,1,1,0,1,0,1,0,0,4341.88648572489,10132
4,1,2,40,4,6,1,9,2,2,2,1,3,6,3,4,4,3,1,4,2,2,2,3,1,0,1,0,0,0,0,28002.1998487936,10133
4,4,2,77,2,4,7,,2,3,3,2,3,4,4,4,4,3,2,3,2,1,2,5,1,0,1,0,0,0,0,2748.27215246039,10134
2,3,1,75,2,3,7,,4,6,2,1,3,6,4,4,4,3,1,4,2,1,2,3,1,0,1,1,0,0,0,11787.8462649711,10135
4,3,2,44,3,4,6,,4,2,2,2,4,3,3,1,4,3,1,3,2,2,2,1,1,0,0,0,1,1,0,9190.95792858474,10136
3,5,1,78,2,2,7,,2,2,4,4,3,4,3,4,4,3,1,1,2,1,2,5,1,,,,,,,42832.1686377168,10137
5,2,2,43,3,4,2,7,4,2,4,2,6,4,1,4,3,2,1,3,2,2,3,1,1,0,0,1,0,0,0,28796.6744980567,10138
1,4,2,54,5,4,1,2,6,6,2,1,4,2,1,2,4,3,2,3,4,2,3,5,1,0,0,0,0,0,1,6086.81617989828,10139
3,4,2,78,2,1,7,,3,3,3,3,3,3,1,4,3,2,2,2,2,2,2,1,1,0,1,0,0,0,0,24765.7296248952,10140
1,3,1,66,2,3,7,,5,1,2,1,3,4,4,4,4,3,1,4,2,2,2,5,1,0,1,0,0,0,0,11395.1852249283,10141
1,5,2,85,2,3,7,,4,2,1,2,4,3,4,2,3,2,2,4,3,3,1,5,1,0,1,0,0,0,0,15837.1360055482,10142
5,4,2,45,3,6,5,4,5,2,2,4,3,5,2,2,4,3,1,4,3,2,1,2,1,,,,,,,19871.1231159629,10143
2,3,1,52,3,4,1,9,1,2,4,4,3,5,3,4,4,3,1,4,2,2,2,5,1,,,,,,,5822.18568220784,10144
4,4,1,74,3,4,7,,4,2,4,1,3,4,4,4,4,2,1,4,2,1,1,5,1,0,0,0,1,0,0,7072.6926477975,10145
1,2,2,73,2,4,7,,6,1,2,1,3,5,2,4,4,2,2,3,4,2,1,5,1,1,0,1,0,0,0,2517.29509223737,10146
2,3,2,52,3,4,6,,5,2,3,2,4,3,3,3,3,2,2,1,4,2,3,5,1,0,1,0,0,0,0,2300.20612444089,10147
2,3,2,68,2,6,7,,6,2,3,2,3,4,3,4,4,3,2,1,2,1,1,5,1,1,1,0,0,0,0,3468.32118482881,10148
3,5,1,80,3,4,7,,4,2,4,1,3,4,1,4,4,3,2,3,2,1,3,1,1,0,1,0,0,0,0,2809.8568039453,10149
2,2,2,56,4,3,5,8,4,2,4,6,3,5,2,3,4,3,2,4,5,1,1,6,1,,,,,,,83944.3957947624,10150
3,5,1,69,2,4,7,,5,1,2,2,4,3,4,4,4,3,2,3,2,2,1,1,1,0,1,0,1,0,0,5119.72357714377,10151
3,3,2,52,2,6,6,,5,1,3,6,5,3,1,3,4,3,1,4,5,1,2,1,1,,,,,,,3045.72922950692,10152
2,5,2,47,6,7,1,9,5,1,3,1,3,4,2,4,3,3,1,4,3,1,3,2,1,0,1,0,1,0,0,8015.48719763123,10153
3,4,2,71,2,2,7,,2,4,4,5,3,2,4,4,4,3,2,4,2,1,1,1,1,1,1,0,0,0,0,15423.5145998259,10154
3,5,1,78,1,3,7,,1,3,3,3,3,3,1,3,4,3,2,1,2,2,1,2,1,0,0,0,0,1,0,5552.43382118474,10155
3,3,2,79,2,3,7,,5,5,1,4,3,3,4,4,4,3,2,3,2,2,2,2,1,,,,,,,10104.3020941717,10156
1,1,2,48,4,4,2,4,1,4,4,2,3,2,1,4,4,3,2,1,4,2,1,5,1,0,0,1,0,0,0,6586.71164131617,10157
2,3,2,77,2,2,7,,3,1,2,2,4,3,4,1,3,2,2,4,2,3,2,1,1,0,1,1,0,0,0,24401.2639617991,10158
5,1,2,74,2,3,7,,3,2,4,2,3,3,4,4,4,3,1,3,2,2,2,1,1,0,1,0,1,0,0,5803.21657446274,10159
2,5,2,76,2,3,7,,5,3,4,4,3,6,4,4,4,3,1,4,1,1,1,1,1,,,,,,,81305.0198140247,10160
2,4,1,70,2,3,7,,4,2,3,1,3,3,4,4,4,3,2,1,2,2,2,1,1,0,1,1,0,0,0,8614.82739942293,10161
5,5,2,19,3,4,8,,2,3,3,4,3,4,3,4,4,3,1,3,2,2,2,1,1,,,,,,,58975.6407415325,10162
3,1,1,53,1,4,1,3,4,2,3,2,3,3,4,4,4,3,2,3,3,1,1,1,1,1,1,0,0,0,0,6194.01959595809,10163
2,2,1,65,2,4,7,,4,2,2,1,4,4,3,4,4,3,2,2,2,1,2,3,1,0,1,0,0,1,0,2822.74127257518,10164
3,4,2,65,3,4,7,,2,2,4,4,3,4,3,4,4,3,1,1,2,1,2,5,1,,,,,,,3032.51777421095,10165
1,3,2,30,2,3,6,,4,1,4,1,3,5,4,4,3,2,1,3,2,1,2,5,1,0,0,0,0,0,1,20497.5797868223,10166
1,5,2,80,1,6,7,,2,1,2,1,3,5,4,4,2,3,1,3,3,2,1,1,1,0,1,0,0,1,0,5517.32335137255,10167
1,3,2,68,2,6,7,,5,1,2,1,3,5,3,4,4,3,2,2,2,3,2,2,1,0,1,0,0,0,0,3352.78908739918,10168
4,2,1,70,2,2,7,,3,2,2,2,3,2,4,5,4,3,2,1,2,1,1,5,1,0,0,0,1,1,0,23157.5408783559,10169
1,4,2,60,2,5,7,,4,2,2,3,3,4,4,4,4,3,1,4,2,2,2,2,1,0,1,0,0,0,0,23844.0495702488,10170
1,1,2,70,3,3,7,,5,2,2,4,4,1,1,4,4,3,2,3,2,2,1,5,1,,,,,,,10414.3677186051,10171
4,1,2,33,4,4,3,7,2,1,2,4,4,3,2,4,3,2,1,3,3,2,1,5,1,,,,,,,10713.7539695082,10172
2,1,2,56,2,3,98,,4,2,2,1,4,2,1,4,4,3,2,1,2,2,2,5,1,0,0,0,0,0,1,80593.1150659072,10173
2,4,1,69,2,6,7,,2,4,4,4,3,4,4,4,4,3,1,4,2,2,2,2,1,,,,,,,4106.73635652302,10174
2,2,1,73,4,4,7,,4,2,2,3,4,3,2,1,4,3,2,3,3,2,2,1,1,0,1,0,0,1,0,3553.85929955829,10175
1,1,2,68,4,4,7,,5,1,2,1,3,4,2,4,4,3,1,4,2,1,1,1,1,0,1,0,1,0,0,2517.29509223737,10176
1,2,2,72,2,4,7,,5,1,4,3,3,3,4,4,3,2,2,2,2,1,1,5,1,0,1,0,1,0,0,2517.29509223737,10177
3,4,2,56,4,6,1,9,4,2,4,4,3,6,3,1,3,2,1,1,2,1,1,3,1,,,,,,,18970.0479611532,10178
2,3,1,80,2,4,7,,3,2,2,3,3,4,4,4,2,2,2,4,3,1,1,5,1,0,1,0,0,0,0,3453.4702406418,10179
1,5,2,74,2,3,7,,5,1,2,1,4,2,4,4,4,3,2,1,2,2,1,1,1,1,0,1,0,0,0,8177.31402466526,10180
4,1,1,41,3,4,1,7,4,2,2,2,4,4,2,1,4,3,1,3,3,2,1,1,1,0,0,0,1,1,0,23537.9607214007,10181
2,3,1,68,2,2,7,,3,3,4,4,4,4,3,4,4,3,2,2,3,3,2,3,1,,,,,,,34439.6670161877,10182
